模型,Baseline端到端时延(ms),Ours端到端时延(ms),Baseline占用内存(MB),Ours head占用内存(MB),完成时间性能提升比(%),内存资源节省比(%)
deit_tiny_patch16_224,587.92,244.90,279.80,46.00,58.35,83.56
levit_128,267.51,79.28,359.70,43.03,70.36,88.04
mobilenet_v2,243.63,70.81,248.30,48.00,70.94,80.67
mobilenet_v3_large,231.17,69.86,286.10,44.81,69.78,84.34
resnet101,2329.24,1143.05,1061.88,40.31,50.93,96.20
resnet18,511.05,247.49,166.80,43.12,51.57,74.15
resnet50,1220.93,742.22,1110.02,40.45,39.21,96.36
vgg11,1106.26,856.14,2026.50,1477.63,22.61,27.08
vgg13,1553.72,1303.96,2048.00,0.00,16.07,100.00
vgg16,2059.00,1721.00,1944.58,0.00,16.42,100.00
vgg19,2566.64,2141.56,2048.00,0.00,16.56,100.00
mobilevgg,1462.18,1156.90,248.70,167.80,20.88,32.53
lightvgg11,1097.12,486.02,2048.00,68.32,55.70,96.66
yolov5,624.22,361.90,358.40,42.11,42.02,88.25
yolov8,306.45,162.78,244.60,35.46,46.88,85.50
